name,id,parent_id
Гроты,886,884
Грунты,887,884
Кормушки,888,884
Отсадник,889,884
Сачки,890,884
Стеклоочистители,891,884
Термометры,892,884
Корм Sera,893,884
Spirulina,894,884
Bettagran,895,884
Goldy,896,884
Holliday,897,884
Vipachips,898,884
Корм Tetra,899,884
Cichlid,900,884
Diskus,901,884
Gold Fish,902,884
Guppy,903,884
Menu,904,884
Min,905,884
Phyll,906,884
Pleco,907,884
Pro,908,884
Rubin,909,884
TabiMin,910,884
WaferMix,911,884
Корма разные,912,884
Оборудование,913,884
Компрессоры и аксессуары,914,884
Помпы- фильтры,915,884
Пылесосы,916,884
Распылители,917,884
Термонагреватели,918,884
Уход за водой,919,884
Кондиционеры,920,884
Ср-во для подготовки,921,884
Уход за растениями,922,884
Уход за рыбами,923,884
Рептилии,924,
Корм,925,924
Средства по уходу,926,924
Террариумы,927,924
Хорьки,928,
Аксессуары,929,928
Клетки,930,928
Корм,931,928
Шампуни,932,928
